CER Category					Examples	AutoExpanded
	Space probes				Mars Rover, exploratory robot, Viking I Lander, space probe, Luna 9, Luna 3, Luna 16, Lunokhod 1, Mariner 10, Venera 4, Venera 7, Venera 9, Mariner 9, Mars 3, Sojourner, Spirit, Opportunity, ICE, Vega, Sakigake, Suisei, Giotto, Genesis, Stardust, NEAR Shoemaker, Hayabusa, Rosetta, Pioneer 10, Pioneer 11, Voyager 1, Voyager 2, Cassini-Huygens, New Horizons, Dawn, Juno, Chang'e 2, pioneer 5, pioneer 6, pioneer 7, pioneer 8, pioneer 9, pioneer-e, helios a, helios b, isee-3, ulysses, wind, soho, ace, stereo a, stereo b, dscovr, parker solar probe, messenger, bepicolombo, mercury planetary orbiter, mio, mercury magnetospheric orbiter, tyazhely sputnik, venera 1, mariner 1, sputnik 19, sputnik 20, sputnik 21, mariner 2, cosmos 21, venera 1964a, venera 1964b, cosmos 27, zond 1, cosmos 96, venera 1965a, venera 2, venera 3, kosmos 167, mariner 5, venera 5, venera 6, cosmos 359, cosmos 482, venera 8, venera 10, pioneer venus orbiter, pioneer venus multiprobe, venera 12, venera 11, venera 13, venera 14, venera 15, venera 16, vega 1, vega 2, galileo, magellan, cassini, venus express, akatsuki, ikaros, shin'en, mars 1m no.1, mars 1m no.2, mars 1962a, mars 1962b, mars 1, mariner 3, mariner 4, zond 2, mariner 6, mariner 7, mars 1969a, mars 1969b, mariner 8, kosmos 419, mars 2, mars 4, mars 5, mars 6, mars7, viking 1 orbiter, viking 2 orbiter, phobos 1, phobos 2, mars observer, mars 96, mars pathfinder, mars global surveyor, mars climate orbiter, mars polar lander, amundsen, scott, 2001 mars odyssey, nozomi, mars express, beagle 2, mars reconnaissance orbiter, phoenix, fobos-grunt, yinghuo-1, msl curiosity, mangalyaan, mars orbiter mission, maven, exomars trace gas orbiter, schiaparelli edm lander, insight, wall-e, eva, mmx, clementine, deep space 1, minerva, procyon, hayabusa2, osiris-rex, deep impact, near-earth asteroid scout, dart, lucy, psyche, destiny, galileo orbiter, juice, europa clipper, huygens, dragonfly, contour, philae, caesar, lander	mars rover, exploratory robot, viking i lander, space probe, luna 9, luna 3, luna 16, lunokhod 1, mariner 10, venera 4, venera 7, venera 9, mariner 9, mars 3, sojourner, spirit, opportunity, ice, vega, sakigake, suisei, giotto, genesis, stardust, near shoemaker, hayabusa, rosetta, pioneer 10, pioneer 11, voyager 1, voyager 2, cassini-huygens, new horizons, dawn, juno, chang'e 2, pioneer 5, pioneer 6, pioneer 7, pioneer 8, pioneer 9, pioneer-e, helios a, helios b, isee-3, ulysses, wind, soho, ace, stereo a, stereo b, dscovr, parker solar probe, messenger, bepicolombo, mercury planetary orbiter, mio, mercury magnetospheric orbiter, tyazhely sputnik, venera 1, mariner 1, sputnik 19, sputnik 20, sputnik 21, mariner 2, cosmos 21, venera 1964a, venera 1964b, cosmos 27, zond 1, cosmos 96, venera 1965a, venera 2, venera 3, kosmos 167, mariner 5, venera 5, venera 6, cosmos 359, cosmos 482, venera 8, venera 10, pioneer venus orbiter, pioneer venus multiprobe, venera 12, venera 11, venera 13, venera 14, venera 15, venera 16, vega 1, vega 2, galileo, magellan, cassini, venus express, akatsuki, ikaros, shin'en, mars 1m no.1, mars 1m no.2, mars 1962a, mars 1962b, mars 1, mariner 3, mariner 4, zond 2, mariner 6, mariner 7, mars 1969a, mars 1969b, mariner 8, kosmos 419, mars 2, mars 4, mars 5, mars 6, mars7, viking 1 orbiter, viking 2 orbiter, phobos 1, phobos 2, mars observer, mars 96, mars pathfinder, mars global surveyor, mars climate orbiter, mars polar lander, amundsen, scott, 2001 mars odyssey, nozomi, mars express, beagle 2, mars reconnaissance orbiter, phoenix, fobos-grunt, yinghuo-1, msl curiosity, mangalyaan, mars orbiter mission, maven, exomars trace gas orbiter, schiaparelli edm lander, insight, wall-e, eva, mmx, clementine, deep space 1, minerva, procyon, hayabusa2, osiris-rex, deep impact, near-earth asteroid scout, dart, lucy, psyche, destiny, galileo orbiter, juice, europa clipper, huygens, dragonfly, contour, philae, caesar, |, venera-12, mars-climate-orbiter, spirited, mars-1962a, mars-polar-lander, darting, cosmos-96, spirits, mars-3, beagle-2, mars-1m-no.2, mercury-magnetospheric-orbiter, venera-11, zond-2, pioneer-venus-orbiter, cassini huygens, venera-1964b, vega-1, dawned, kosmos-419, pioneer-6, osiris rex, venera-5, contoured, exomars-trace-gas-orbiter, mariner-5, msl-curiosity, venera-1, mariner-8, pioneer-venus-multiprobe, opportunities, venera-16, helios-a, destinies, psyches, viking-i-lander, sputnik-21, new-horizons, luna-9, fobos grunt, mars-96, venus-express, mars-1m-no.1, geneses, wounds, pioneer-5, phoenixes, near-shoemaker, deep-space-1, cosmos-359, mars-4, dragonflies, dawning, mars-global-surveyor, psyched, pioneer-9, pioneer-11, venera-1964a, mars-1969b, mars-pathfinder, insights, viking-1-orbiter, deep-impact, pioneer e, mars-observer, iced, mariner-4, cosmos-27, mars-orbiter-mission, venera-15, spiriting, mariner-9, winding, psyching, darts, cosmos-482, mariner-1, juiced, luna-3, mars-1, wall e, near-earth-asteroid-scout, juices, contouring, viking-2-orbiter, venera-9, yinghuo 1, venera-1965a, 2001-mars-odyssey, schiaparelli-edm-lander, mars-1969a, juicing, mariner-6, mavens, mercury-planetary-orbiter, ices, exploratory-robot, venera-4, lunokhod-1, pioneer-8, dawns, venera-14, stereo-b, aces, venera-8, mars-reconnaissance-orbiter, pioneer-10, voyager-1, mars-5, darted, phobos-1, galileo-orbiter, winds, mars-6, mars-1962b, luna-16, isee 3, vegas, mariner-3, wound, near earth asteroid scout, venera-13, sputnik-19, venera-6, mars-express, mariner-10, vega-2, mars-2, venera-3, icing, space-probe, mariner-7, venera-10, tyazhely-sputnik, pioneer-7, stereo-a, contours, venera-2, venera-7, parker-solar-probe, sputnik-20, zond-1, phobos-2, chang'e-2, cosmos-21, helios-b, europa-clipper, winded, messengers, mariner-2, sojourners, kosmos-167, mars-rover, caesars, voyager-2
	Spacecraft (human rated)				rocket, space shuttle, lunar module, spacecraft, Soyuz, Shenzhou, SpaceShipTwo, International Space Station, Tiangong 2, Vostok, Mercury, X-15, Voskhod, Gemini, Apollo, Space Shuttle, SpaceShipOne, Salyut, Skylab, Almaz, Mir, Tiangong 1, New Shepard, Dragon V2, CST-100 Starliner, Orion, Dream Chaser	rocket, space shuttle, lunar module, spacecraft, soyuz, shenzhou, spaceshiptwo, international space station, tiangong 2, vostok, mercury, x-15, voskhod, gemini, apollo, space shuttle, spaceshipone, salyut, skylab, almaz, mir, tiangong 1, new shepard, dragon v2, cst-100 starliner, orion, dream chaser, |, rocketing, shenzhou-5, rockets, space-shuttle, rocketed, dream-chaser, cst-100-starliner, mercuries, shenzhou-6, tiangong-2, dragon-v2, cst 100 starliner, new-shepard, x 15, shenzhou-7, lunar-module, international-space-station, spacecrafts, tiangong-1
		spacecraft subsystem			guidance, propulsion, support, suspension, structure, attitude control, attitude determination, telemetry, tracking, command, communication, power, thermal	guidance, propulsion, support, suspension, structure, attitude control, attitude determination, telemetry, tracking, command, communication, power, thermal, |, structuring, thermals, communicates, attitude-control, guidances, structures, commander, communicating, commanding, powered, communications, tracks, commanders, supporting, supports, powerful, attitude-determination, tracked, powers, communicated, supported, commanded, suspensions, telemetries, commands, structured, powering
	Star				star, stars, Sun, Proxima Centauri, Polaris, open clusters, 40 Eridani, 51 Pegasi, 61 Cygni, 70 Virginis, Achernar, Acrux, Albireo, Aldebaran, Algol, Alioth, Alniyat, Alpha Arietis, Alpha Centauri, Alpha Herculis, Altair, Aludra, Antares, Arcturus, Arrakis, Avior, Barnard's star, Becrux, Beta Arietis, Beta Aurigae, Beta Centauri, Beta Columbae, Beta Tauri, Betelgeuse, Canopus, Capella, Castor, Cygnis, Deneb, Delta Cephei, Epsilon Eridani, Epsilon Indi, Eta Carinae, Fomalhaut, GJ 1061, GRB 970228, HE0107-5420 Kapteyn's Star, Kruger 60 A, Kruger 60 B, Lacaille 9352, Lalande 21185, Meissa, Miaplacidus, mintaka, Mira, Mirach, Mizar, Nemesis, Pistol Star, Polaris, Pollux, Procyon, Regulus, Rigel, Ross 128, Ross 154, Ross 248, RR Lyrae, Saiph, Sirius, Spica, Tau Ceti, Thuban, Upsilon Andromedae, V886 Centauri, Vega, VY Canis Majoris, Wolf 259	star, stars, sun, proxima centauri, polaris, open clusters, 40 eridani, 51 pegasi, 61 cygni, 70 virginis, achernar, acrux, albireo, aldebaran, algol, alioth, alniyat, alpha arietis, alpha centauri, alpha herculis, altair, aludra, antares, arcturus, arrakis, avior, barnard's star, becrux, beta arietis, beta aurigae, beta centauri, beta columbae, beta tauri, betelgeuse, canopus, capella, castor, cygnis, deneb, delta cephei, epsilon eridani, epsilon indi, eta carinae, fomalhaut, gj 1061, grb 970228, he0107-5420 kapteyn's star, kruger 60 a, kruger 60 b, lacaille 9352, lalande 21185, meissa, miaplacidus, mintaka, mira, mirach, mizar, nemesis, pistol star, polaris, pollux, procyon, regulus, rigel, ross 128, ross 154, ross 248, rr lyrae, saiph, sirius, spica, tau ceti, thuban, upsilon andromedae, v886 centauri, vega, vy canis majoris, wolf 259, |, alpha-arietis, 40-eridani, vy-canis-majoris, beta-tauri, sunned, beta-arietis, barnard's-star, starring, grb-970228, gj-1061, kruger-60-b, beta-centauri, delta-cephei, he0107-5420-kapteyn's-star, nemeses, sunning, ross-128, proxima-centauri, rr-lyrae, 70-virginis, 61-cygni, castors, suns, sunshine, v886-centauri, pistol-star, eta-carinae, upsilon-andromedae, epsilon-eridani, he0107 5420 kapteyn's star, wolf-259, vegas, open-clusters, starred, alpha-herculis, miranda, ross-248, lalande-21185, lacaille-9352, tau-ceti, alpha-centauri, ross-154, beta-aurigae, epsilon-indi, beta-columbae, 51-pegasi, kruger-60-a
		Star types			giant, dwarf, main-sequence, supergiant, protostar, supernova, neutron, binary, quasar, main sequence, nova	giant, dwarf, main-sequence, supergiant, protostar, supernova, neutron, binary, quasar, main sequence, nova, |, novae, protostars, dwarfs, dwarfed, dwarves, binaries, supernovae, supernovas, supergiants, giants, quasars, dwarfing, novas, neutrons
		Star Layers			core, radiative zone, convection zone, chromosphere, photosphere, corona	core, radiative zone, convection zone, chromosphere, photosphere, corona, |, photospheres, radiative-zone, convection-zone, coronae, cored, cores, coronas, coring
	The Universe (universe) and its parts				universe, space, outer space, existence, cosmos, observable universe, multiverse, supercluster, superclusters, filament, filaments, void, voids, dark matter	universe, space, outer space, existence, cosmos, observable universe, multiverse, superclusters, filaments, voids, dark matter, |, exist, dark-matter, existences, void, spacecraft, cosmoses, existing, voiding, exists, outer-space, observable-universe, voided, universes, spacing, existed, spaces, spaced
	Vacuum				vacuum, in vacuo, vacuity	vacuum, in vacuo, vacuity, |, vacua, vacuums, in-vacuo, vacuumed, vacuuming, vacuities
	Celestial Events				celestial event, solar flare, shooting star, meteor shower, astronomical event, astronomical phenomenon, transits, occultations, planetary opposition, planetary oppositions, planetary conjunction, planetary conjunctions, comet flyby, solar prominence, moonquake, moonquakes, flare, flares	celestial event, solar flare, shooting star, meteor shower, astronomical event, astronomical phenomenon, transits, occultations, planetary oppositions, planetary conjunctions, comet flyby, solar prominence, moonquakes, |, solar-flare, planetary-oppositions, celestial-event, transited, comet-flyby, astronomical-event, solar-prominence, meteor-shower, transiting, shooting-star, planetary-conjunctions, astronomical-phenomenon
		Eclipse events			solar eclipse, lunar eclipse, annular eclipse, hybrid eclipse, partial eclipse, penumbral eclipse, partial lunar eclipse, central lunar eclipse, total eclipse, planetary transit, eclipse, eclipses	solar eclipse, lunar eclipse, annular eclipse, hybrid eclipse, partial eclipse, penumbral eclipse, partial lunar eclipse, central lunar eclipse, total eclipse, planetary transit, eclipse, eclipses, |, solar-eclipse, partial-lunar-eclipse, partial-eclipse, lunar-eclipse, central-lunar-eclipse, hybrid-eclipse, penumbral-eclipse, eclipsing, eclipsed, total-eclipse, annular-eclipse, planetary-transit
						
						
Force					force, motion, weak force, strong force, magnetic force, centripetal force, friction, centrifugal force, balanced force, balanced forces, net force, power, strong nuclear force, weak nuclear force, pressure, tensile, physical forces, physical force	force, motion, weak force, strong force, magnetic force, centripetal force, friction, centrifugal force, balanced forces, net force, power, strong nuclear force, weak nuclear force, pressure, tensile, physical forces, |, movements, pressures, centrifugal-force, pressured, moves, strong-force, moving, forces, frictional, net-force, powered, centripetal-force, balanced-forces, forcing, powerful, magnetic-force, forced, strong-nuclear-force, powers, weak-nuclear-force, movement, motions, pressuring, physical-forces, moved, weak-force, frictions, powering
	Gravity				gravitational pull, gravity, gravitational acceleration, gravitational force, gravitational attraction, gravitational	gravitational pull, gravity, gravitational acceleration, gravitational force, gravitational attraction, gravitational, |, gravitational-attraction, gravitational-pull, gravitational-acceleration, gravities, gravitational-force
	Inertia				inertia	inertia, |, inertias
	Magnetic force				magnetism, magnetic force, magnetic pull, magnetic field, electromagnetic force, magnetic	magnetism, magnetic force, magnetic pull, magnetic field, electromagnetic force, |, magnetic-field, electromagnetic-force, magnetic-force, magnetic-pull
	Pressure				atmospheric pressure, vapor pressure, air pressure, shear, stress, water pressure, turgor pressure, barometric pressure, absolute pressure, differential pressure, fluid pressure, deflagration pressure, explosion pressure, negative pressure, stagnation pressure, surface pressure, surface tension, liquid pressure, kinematic pressure, hydrostatic pressure, pressure	atmospheric pressure, vapor pressure, air pressure, shear, stress, water pressure, turgor pressure, barometric pressure, absolute pressure, differential pressure, fluid pressure, deflagration pressure, explosion pressure, negative pressure, stagnation pressure, surface pressure, surface tension, liquid pressure, kinematic pressure, hydrostatic pressure, pressure, |, pressures, air-pressure, hydrostatic-pressure, pressured, shorn, water-pressure, turgor-pressure, stressing, explosion-pressure, stagnation-pressure, vapor-pressure, barometric-pressure, surface-tension, negative-pressure, differential-pressure, stressed, sheared, kinematic-pressure, shearing, shears, absolute-pressure, stresses, surface-pressure, pressuring, atmospheric-pressure, fluid-pressure, liquid-pressure, deflagration-pressure
	'Pulling' forces				air resistance, friction, traction, frictional force, sound barrier, drag, torsion, tension, abrasion resistance, Lorentz force, attraction	air resistance, friction, traction, frictional force, sound barrier, drag, torsion, tension, abrasion resistance, lorentz force, attraction, |, tractions, frictional-force, sound-barrier, torsions, abrasion-resistance, tensions, frictional, drags, air-resistance, dragged, lorentz-force, attractions, tensioning, tensioned, frictions, dragging
		'pulling' actions			pull, slow down, stop, attract, pulling, draw in, wrench, twist, twisted, pull back, suck, suck in, tug, adduct, pluck, plucking, attraction	pull, slow down, stop, attract, pulling, draw in, wrench, twisted, pull back, suck in, tug, adduct, pluck, plucking, attraction, |, twists, draw-in, pulled, drew-in, plucked, slow-down, adducted, plucks, drawn-in, tugs, twisting, adducting, tugboat, adducts, wrenched, suck-in, wrenches, pull-backs, pulls, stopping, stopped, draws-in, pull-back, attracting, wrenching, attractions, slow-downs, tugged, stops, attracted, tugging, attracts
	'Pushing' forces				thrust, lift, compression, compressive force, compressive forces, normal force, torque, elastic force, centrifugal force, Coriolis force, centripetal force	thrust, lift, compression, compressive forces, normal force, torque, elastic force, centrifugal force, coriolis force, centripetal force, |, thrusting, centrifugal-force, normal-force, thrusts, torques, coriolis-force, lifts, centripetal-force, lifted, lifting, compressions, compressive-forces, elastic-force
		'pushing' actions			push, throw, toss, fall, sink, accelerate, motion, repel, compress, swing, exert, compact, compaction, press down, press, pressing, grip, gripping, backswing, tighten, tightening	push, throw, toss, fall, sink, accelerate, motion, repel, compress, swing, exert, compaction, press down, press, pressing, grip, gripping, backswing, tighten, tightening, |, exerting, movements, pushes, throwing, gripped, press-down, tightened, exerts, compressing, sank, fell, moves, tosses, tossed, sinks, sunk, moving, throws, thrown, exerted, fallen, swung, falls, grips, compressed, tossing, swings, accelerating, repelling, swang, compresses, movement, motions, tightens, presses, swinging, repelled, moved, sinking, pushed, tost, sunken, threw, falling, repels, pressed, pushing, accelerates, accelerated
						
						
Energy					energy, light energy, radiation, kinetic energy, thermal energy, solar wind, solar power, mechanical energy, mechanical, nuclear, radiant, renewable energy, nonrenewable energy, power, chemical energy, chemical, electromagnetic, potential energy, potential, kinetic, stamina	energy, light energy, radiation, kinetic energy, thermal energy, solar wind, solar power, mechanical energy, mechanical, nuclear, radiant, renewable energy, nonrenewable energy, power, chemical energy, chemical, electromagnetic, potential energy, potential, kinetic, stamina, |, light-energy, potentials, renewable-energy, nonrenewable-energy, solar-power, stamens, chemicals, thermal-energy, chemical-energy, powered, kinetic-energy, potentially, powerful, energies, powers, mechanical-energy, kinetics, solar-wind, potential-energy, powering, radiations
	Absorb Energy				absorb, energy consumption, endothermic reaction, reabsorb, consume, uptake, take in, assimilate, take up, imbibe, use up	absorb, energy consumption, endothermic reaction, reabsorb, consume, uptake, take in, assimilate, take up, imbibe, use up, |, absorbs, reabsorbed, absorbed, imbibes, uptakes, assimilated, consumed, energy-consumption, consuming, absorption, take-in, reabsorbs, imbibed, take-up, assimilating, reabsorbing, endothermic-reaction, consumes, absorbing, assimilates, use-up, imbibing
	Electrical Energy				electromagnetic energy, electrical charge, shock, electricity, electric current, static electricity, voltage, electrical energy, electrical power, hydroelectric power, direct current, electromagnetic radiation, electromagnetic	electromagnetic energy, electrical charge, shock, electricity, electric current, static electricity, voltage, electrical energy, electrical power, hydroelectric power, direct current, electromagnetic radiation, electromagnetic, |, hydroelectric-power, voltages, electric-current, shocks, shocked, electrical-charge, electrical, static-electricity, electromagnetic-energy, direct-current, shocking, electrical-energy, electrical-power, electromagnetic-radiation
	Energy waves				radio wave, wave, ripple, ray, light wave, seismic wave, electromagnetic wave, sound wave, ultrasonic wave, longitudinal wave, transverse wave, mechanical waves, surface waves, water waves, ocean waves, gamma ray, gamma rays, ultraviolet ray, ultraviolet rays, infrared ray, infrared rays, microwave, microwaves, seismic wave, seismic, longitudinal wave, longitudinal, trasverse waves, transeverse	radio wave, wave, ripple, ray, light wave, seismic wave, electromagnetic wave, sound wave, ultrasonic wave, longitudinal wave, transverse wave, mechanical waves, surface waves, water waves, ocean waves, gamma rays, ultraviolet rays, infrared rays, microwaves, seismic wave, seismic, longitudinal wave, longitudinal, trasverse waves, transeverse, |, surface-waves, ultraviolet-rays, rippling, trasverse-waves, waved, waves, microwaved, waving, transverse-wave, infrared-rays, mechanical-waves, rippled, microwaving, seismic-wave, gamma-rays, rays, ripples, sound-wave, radio-wave, longitudinal-wave, light-wave, water-waves, ocean-waves, ultrasonic-wave, electromagnetic-wave, microwave
		parts of waves			crest, trough, peak, amplitude, wavelength, frequency	crest, trough, peak, amplitude, wavelength, frequency, |, troughs, crested, frequencies, wavelengths, crests, cresting, peak amplitude, peaks, amplitudes
		wave perception			Doppler effect, interference, signal interruption, wave-particle duality, sound perception, light perception, seeing color, hearing, rainbow, pitch, timbre	doppler effect, interference, signal interruption, wave-particle duality, sound perception, light perception, seeing color, hearing, rainbow, pitch, timbre, |, rainbows, interfered, wave-particle-duality, heard, hearings, seeing-color, interfering, timbres, pitching, wave particle duality, doppler-effect, interferes, signal-interruption, hear, pitched, hears, pitches, sound-perception, light-perception, interferences, interfere
	Magnetic Energy				electromagnetic energy, magnetic field, magnetic moment, paramagnetism, diamagnetism, magnetic dipole moment, electrostatic potential energy, ferromagnetism, dipole, electromagnetic radiation	electromagnetic energy, magnetic field, magnetic moment, paramagnetism, diamagnetism, magnetic dipole moment, electrostatic potential energy, ferromagnetism, dipole, electromagnetic radiation, |, magnetic-moment, magnetic-dipole-moment, electrostatic-potential-energy, magnetic-field, electromagnetic-energy, dipoles, electromagnetic-radiation
	Produce energy				nuclear fusion, nuclear fission, molecular fusion, molecular fission, fission, fusion, nuclear reaction, energy production, energy generation, create energy, nuclear reaction, radioactive decay, radiometric decay	nuclear fusion, nuclear fission, molecular fusion, molecular fission, fission, fusion, nuclear reaction, energy production, energy generation, create energy, nuclear reaction, radioactive decay, radiometric decay, |, molecular-fission, nuclear-fission, nuclear-fusion, molecular-fusion, radioactive-decay, fissions, energy-production, nuclear-reaction, create-energy, radiometric-decay, fusions, energy-generation
